Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
7b5d8f6b0c1ad89dc78cba1ac771e289dc0d334075443d012f9b8992f269c51d,2024-11,Metropolitan Police Service,Metropolitan Police Service,-0.676094,50.786538,On or near Parking Area,E01031444,Arun 016B,Violence and sexual offences,Status update unavailable,
c708bcf9fe80cbf24bbe983cb104b76c4dd23dbf22831cb3abaedda519d5b451,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.884518,51.128775,On or near East Stour Way,E01032817,Ashford 009G,Other crime,Status update unavailable,
,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.134947,51.588063,On or near Mead Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.134947,51.588063,On or near Mead Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
42dd0697ffbca63de82a69c13f667ec37b7a430d7b6f7e8c2f20c0c72338bf77,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.135972,51.588359,On or near Hazel Grove,E01000027,Barking and Dagenham 001A,Drugs,Unable to prosecute suspect,
70f9504ad254e44b951fc05a02fa10a9feb951cf8ee3b2bd10b28c74f9135d4b,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.135972,51.588359,On or near Hazel Grove,E01000027,Barking and Dagenham 001A,Drugs,Unable to prosecute suspect,
6d9a259638db73b996785c38cc63df7aa92afeb4f2afef6c16e746ca4fd1895d,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.141144,51.5909,On or near Furze Farm Close,E01000027,Barking and Dagenham 001A,Drugs,Status update unavailable,
00081b09c8fa87d28c9d55025275a088c566536afc821029e30ad51b07ea8b02,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Drugs,Unable to prosecute suspect,
c1ba37384decbff61c1c5b1ccf42d450ec137b71bbdc03144beef373ae4bdc78,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.140194,51.582356,On or near Hatch Grove,E01000027,Barking and Dagenham 001A,Drugs,Unable to prosecute suspect,
71f25a825ee85727df8bc2727884bcbb1a96a0bcb7249508ca42e6bc4c181c7e,2024-11,Metropolitan Police Service,Metropolitan Police Service,0.13883,51.583433,On or near Thatches Grove,E01000027,Barking and Dagenham 001A,Drugs,Unable to prosecute suspect,
